price,distance
75000,1.11
75000,0.33
76000,0.19
76000,1.04
77000,0.88
77464,0.29
78000,0.58
80000,0.86
80000,0.68
80000,1.08
80000,0.66
80000,1.1
82000,1.16
82000,1.28
83000,0.19
84000,1.17
85000,0.72
85000,0.73
85000,0.79
86000,1.1
88000,0.36
90000,1.11
90000,1.05
90000,0.7
90000,0.6
90000,1
93000,0.89
93854,0.81
94500,1.12
95000,1.04
95000,1.12
95000,1.04
95000,0.78
95800,0.98
96000,1.04
98000,0.87
100000,0.43
100000,0.95
100000,1.11
100000,1.04
102000,0.29
103500,0.19
105000,1.19
105000,0.48
105000,1.07
105000,1.11
110000,0.36
110000,0.69
110000,0.29
110000,0.88
110000,0.64
111000,0.29
120000,0.32
120000,1.07
120000,1.07
120000,1.02
120000,1.09
120000,0.69
125000,1.16
125000,0.95
130000,1.12
130000,1.12
130000,0.98
130000,0.77
130000,0.53
130000,0.92
135000,1.01
136000,0.51
139800,1.06
140000,1.08
165000,0.84
180000,0.78
180000,0.7
200000,0.97
200000,0.97
200000,1.14
200000,0.56
200000,1.16
220000,0.96
220900,0.89
250000,0.25
280000,1.27
300000,0.81
400000,0.82
160000,1.81
80000,0.68
85000,0.99
140000,0.62
70000,0.92
70000,0.68
120000,0.79
76000,0.87
75000,0.87
32850,0.56
80000,5.15
90000,5.14
150000,0.98
150000,0.98
65000,0.75
60000,0.93
62000,0.93
62000,0.93
95000,1.03
105000,1.02
68000,0.93
73000,0.99
60000,0.93
68000,0.93
68000,0.93
65000,0.83
77000,0.86
28000,1.11
135000,0.79
158900,1.05
159000,1.05
48000,5.49
70000,0.8
110000,0.99
32500,0.99
140000,5.14
100000,0.97
45000,1.01
45000,1.03
48000,1.03
50000,0.95
45000,0.92
46000,0.95
93000,4.78
135000,0.93
50000,0.92
53000,0.96
46000,0.96
47000,0.96
48000,0.96
50000,0.96
95000,0.97
95000,0.97
95000,0.97
75000,1.03
58000,1.12
150000,0.94
120000,0.95
110000,0.91
110000,0.91
120000,1.02
47000,0.96
47000,0.96
135000,0.99
90000,0.68
95000,0.67
75000,1.05
46000,5.28
57000,5.28
36000,0.96
190000,0.95
90000,0.68
95000,0.68
300000,1.05
60000,0.97
67000,0.97
49000,1.04
50000,1.04
