price,crime
45000,122
26000,46
320000,52
120000,46
46000,150.26
95000,46
135000,46
65000,156
32000,46
74700,46
55000,46
170000,46
170000,52
95000,46
80000,122
75000,46
85000,56.89
160000,46
120000,46
80000,217.42
220000,46
94000,46
110000,46
80000,52.39
80000,46
100000,46
140000,46
110000,234
98000,122
75000,122
89000,46
45000,46
60000,234
38000,46
35000,52
60000,122
80000,46
40000,234
90000,46
170000,52
70000,122
33000,234
74000,46
48000,234
55000,122
165000,46
100000,122
125000,46
63000,46.21
65000,122
63000,52
230000,46
190000,46
150000,52.07
50000,46
125000,122
45000,122
65000,59.44
100000,38.75
69000,46
80000,46
45337,46
30000,215.77
35910,52
39000,46
65000,122
97000,46
38000,46
41000,52
160000,122
130000,34
120000,46
50000,46
78000,46
55443,234
29900,46
65000,52
79900,46
48000,52
51520,122
45000,122
60000,46
63360,52
85000,46
80000,38.1
72000,122
55000,122
140000,34.55
69202,52
23000,52
128000,46
90000,46
300000,46
50474,52
50000,39.94
125000,132.9
105000,69.29
86500,122.14
40000,46
33900,122
180000,122
140000,46
35000,52
65000,135.4
85000,52
22000,52
210000,41.68
48000,122
89000,122
77000,122
55000,46
95000,40.19
48000,108.8
36000,122
115000,122
210000,46
43608,46
98000,46
130000,122
85000,46
75000,46
55000,234
72000,122
140000,60.84
130000,46
50474,52
75000,122
340000,46
80000,46
52000,46
120000,234
110000,46
44000,46
380000,45.08
28500,52
500000,234
100000,122
42822,52
130000,122
108000,46
70000,119.25
150000,46
53000,122
55000,46
76000,122
60000,46
20000,122
62000,46.71
80000,52
150000,46
65000,46
75000,122
60000,46
89000,234
75000,122
58000,122
130000,39.11
98500,234
23000,52
90000,122
150000,46
125000,34
85850,46
170000,122
80000,46
40000,52
152160,52
75000,46
93500,46
70000,122
150000,122
75000,51.46
220000,43.09
60000,66.28
50000,52
35000,122
36900,122.02
68000,46
60000,46
35000,52
90000,46
90000,46
78000,122.11
95000,46
40000,80.21
50900,122
70000,234
72000,46
120000,46
60000,122
130000,46
32000,39.86
42000,46
58000,52
70000,46
28000,122
120000,46
30000,60.04
160000,46
58000,46
75000,122
70000,122
109425,46
270000,52
80000,122
77000,46
