,id,price_000,yr_2001,yr_2002,yr_2003,yr_2004,yr_2005,yr_2006,apt,floor,age_0_10,age_10_20,age_20_more,num_room,num_bath,num_garage,area_m2,ses,pop_dens,pcnt_indu,pcnt_com,pcnt_insti,pcnt_vacant,pcn_green,homicides,house,ses_bin,lnprice,price_hi
3530,505655,57900.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,0.0,1.0,0.0,4.0,2.0,1.0,74.0,4.0,884.63,19.48,0.0,0.0,32.57,1.02,234.0,1,0,10.96647,0
3531,505685,58000.0,0.0,0.0,0.0,0.0,1.0,0.0,1,1.0,0.0,1.0,0.0,2.0,1.0,1.0,52.0,4.0,344.79,2.47,0.0,0.38,26.62,42.83,197.04,0,0,10.9682,0
3532,505697,58000.0,0.0,0.0,0.0,1.0,0.0,0.0,1,4.0,1.0,0.0,0.0,3.0,2.0,1.0,56.0,4.0,570.23,1.55,0.0,0.39,13.4,22.17,119.82,0,0,10.9682,0
3533,505721,58000.0,1.0,0.0,0.0,0.0,0.0,0.0,1,1.0,0.0,1.0,0.0,2.0,1.0,1.0,62.0,6.0,404.23,4.8,0.0,1.52,1.91,0.91,52.0,0,1,10.9682,0
3534,505722,58000.0,1.0,0.0,0.0,0.0,0.0,0.0,1,1.0,0.0,1.0,0.0,2.0,1.0,1.0,62.0,6.0,404.23,4.8,0.0,1.52,1.91,0.91,52.0,0,1,10.9682,0
3535,505736,58000.0,0.0,0.0,0.0,0.0,1.0,0.0,1,5.0,1.0,0.0,0.0,3.0,2.0,1.0,63.0,3.0,719.45,5.42,0.0,2.01,8.57,0.46,234.0,0,0,10.9682,0
3536,505747,58000.0,0.0,0.0,0.0,0.0,1.0,0.0,1,1.0,0.0,1.0,0.0,3.0,2.0,1.0,66.0,4.0,274.97,4.02,0.0,1.01,19.16,26.9,136.28,0,0,10.9682,0
3537,505748,58000.0,0.0,0.0,0.0,0.0,0.0,1.0,1,2.0,0.0,1.0,0.0,3.0,2.0,1.0,66.0,4.0,493.55,0.0,0.0,1.91,0.0,1.15,52.0,0,0,10.9682,0
3538,505776,58000.0,0.0,0.0,1.0,0.0,0.0,0.0,1,2.0,0.0,1.0,0.0,3.0,2.0,1.0,79.0,4.0,474.4,3.58,0.0,0.89,10.58,12.62,89.1,0,0,10.9682,0
3539,505847,58900.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,0.0,1.0,0.0,4.0,2.0,1.0,177.0,2.0,274.04,6.09,0.0,0.55,19.26,1.82,234.0,1,0,10.9836,0
3540,505848,58900.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,0.0,1.0,0.0,4.0,2.0,1.0,177.0,2.0,274.04,6.09,0.0,0.55,19.26,1.82,234.0,1,0,10.9836,0
3541,505849,58900.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0.0,0.0,1.0,0.0,4.0,2.0,1.0,177.0,2.0,277.71,6.1,0.0,0.57,19.36,1.83,234.0,1,0,10.9836,0
3542,505879,59000.0,0.0,0.0,0.0,0.0,1.0,0.0,1,5.0,0.0,1.0,0.0,3.0,2.0,1.0,71.0,3.0,192.05,100.0,0.0,0.0,0.0,0.0,52.0,0,0,10.98529,0
3543,505887,59000.0,1.0,0.0,0.0,0.0,0.0,0.0,1,3.0,1.0,0.0,0.0,2.0,2.0,1.0,77.0,3.0,398.51,22.76,0.0,4.98,21.15,1.1,52.0,0,0,10.98529,0
3544,505897,59000.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0.0,0.0,1.0,0.0,5.0,3.0,1.0,185.0,4.0,676.65,0.11,0.0,0.0,0.6,2.03,52.0,1,0,10.98529,0
3545,506002,60000.0,0.0,0.0,0.0,0.0,0.0,1.0,1,4.0,1.0,0.0,0.0,3.0,2.0,1.0,57.0,3.0,441.48,19.74,0.0,6.13,16.58,1.36,52.0,0,0,11.0021,0
3546,506005,60000.0,0.0,0.0,0.0,0.0,0.0,1.0,1,6.0,0.0,1.0,0.0,3.0,2.0,1.0,57.0,4.0,345.79,0.0,0.03,0.0,31.03,56.8,233.05,0,0,11.0021,0
3547,506012,60000.0,0.0,1.0,0.0,0.0,0.0,0.0,1,6.0,1.0,0.0,0.0,3.0,2.0,1.0,58.0,4.0,570.23,1.55,0.0,0.39,13.4,22.17,119.82,0,0,11.0021,0
