,price_000,pop_dens,ses,house,area_m2,num_bath,pcn_green,thefts,year,high_ses,yr_2001,yr_2002,yr_2003,yr_2004,yr_2005,yr_2006
2305,46000,167.12,3,0,63,2,4.27,122.0,2005,0,0,0,0,0,1,0
2306,46000,186.63,3,0,81,2,9.51,150.26,2005,0,0,0,0,0,1,0
2307,46000,559.51,3,0,81,2,0.81,122.0,2004,0,0,0,0,1,0,0
2308,46000,186.63,3,0,84,2,9.51,150.26,2004,0,0,0,0,1,0,0
2309,46000,186.63,3,0,84,2,9.51,150.26,2004,0,0,0,0,1,0,0
2310,46000,218.69,3,0,84,2,8.95,148.5,2004,0,0,0,0,1,0,0
2311,46700,445.79,3,0,67,2,3.65,122.0,2004,0,0,0,0,1,0,0
2312,46900,107.56,4,0,61,2,3.78,122.0,2004,0,0,0,0,1,0,0
2313,46900,107.39,3,0,61,2,3.78,122.0,2004,0,0,0,0,1,0,0
2314,46900,425.43,4,0,61,2,5.83,122.0,2005,0,0,0,0,0,1,0
2315,46979,177.1,3,1,113,2,4.86,122.0,2002,0,0,1,0,0,0,0
2316,47000,173.92,3,0,54,2,4.27,122.0,2006,0,0,0,0,0,0,1
2317,47000,51.23,3,0,64,1,4.32,122.0,2006,0,0,0,0,0,0,1
2318,47000,410.06,3,0,67,1,3.82,122.0,2002,0,0,1,0,0,0,0
2319,47000,40.51,3,0,67,2,5.21,122.0,2005,0,0,0,0,0,1,0
2320,47200,797.08,3,0,65,2,5.07,122.0,2005,0,0,0,0,0,1,0
2321,47200,795.87,3,0,65,2,4.98,122.0,2005,0,0,0,0,0,1,0
2322,47200,801.79,3,0,66,2,5.4,122.0,2005,0,0,0,0,0,1,0
2323,47750,797.08,3,0,66,2,5.07,122.0,2005,0,0,0,0,0,1,0
2324,47750,795.87,3,0,66,2,4.98,122.0,2005,0,0,0,0,0,1,0
2325,47750,801.79,3,0,67,2,5.4,122.0,2005,0,0,0,0,0,1,0
2326,47900,798.8,3,0,66,2,5.18,122.0,2005,0,0,0,0,0,1,0
2327,47900,797.08,3,0,66,2,5.07,122.0,2005,0,0,0,0,0,1,0
2328,47900,797.08,3,0,66,2,5.07,122.0,2005,0,0,0,0,0,1,0
2329,47900,795.87,3,0,66,2,4.98,122.0,2005,0,0,0,0,0,1,0
2330,47900,801.79,3,0,67,2,5.4,122.0,2005,0,0,0,0,0,1,0
2331,48000,426.25,3,0,44,1,3.66,122.0,2006,0,0,0,0,0,0,1
2332,48000,296.19,3,0,60,1,5.88,122.0,2006,0,0,0,0,0,0,1
2333,48000,186.98,3,0,60,1,4.04,122.0,2004,0,0,0,0,1,0,0
2334,48000,283.21,3,0,61,1,1.94,122.0,2003,0,0,0,1,0,0,0
2335,48000,173.8,3,0,63,2,4.48,122.0,2005,0,0,0,0,0,1,0
2336,48000,427.45,3,0,64,1,3.85,122.0,2004,0,0,0,0,1,0,0
2337,48000,427.45,3,0,64,1,3.85,122.0,2005,0,0,0,0,0,1,0
2338,48000,296.19,3,0,65,2,5.88,122.0,2006,0,0,0,0,0,0,1
